id,name,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact,state_fullname
83,Anthony Purvis,2015-02-03,shot,gun,45.0,M,W,Douglas,GA,True,attack,Not fleeing,False,-82.845,31.523,True,Georgia
84,Jeremy Lett,2015-02-04,shot,unarmed,28.0,M,B,Tallahassee,FL,False,attack,Not fleeing,False,-84.33,30.466,True,Florida
85,Izzy Colon,2015-02-04,shot,gun,37.0,M,H,Orlando,FL,False,attack,Not fleeing,False,-81.306,28.5,True,Florida
86,Salvador Muna,2015-02-04,shot,gun,28.0,M,H,Tempe,AZ,False,attack,Car,False,-111.978,33.378,True,Arizona
87,Joaquin Hernandez,2015-02-04,shot,unarmed,28.0,M,H,Tempe,AZ,False,other,Not fleeing,False,-111.978,33.378,True,Arizona
88,Jimmy Ray Robinson Jr.,2015-02-04,shot,gun,51.0,M,B,Lorena,TX,False,attack,Car,False,-97.208,31.397,True,Texas
89,Markell Atkins,2015-02-04,shot,knife,36.0,M,B,Memphis,TN,False,other,Not fleeing,False,-89.932,35.164,True,Tennessee
90,Paul Alfred Eugene Johnson,2015-02-05,shot,toy weapon,59.0,M,W,Chino,CA,False,other,Car,False,-117.65,33.953,True,California
91,Herbert Hill,2015-02-06,shot,gun,25.0,M,B,Oklahoma City,OK,False,attack,Not fleeing,False,-97.515,35.404,True,Oklahoma
92,John  Sawyer,2015-02-07,shot,toy weapon,26.0,M,W,Calimesa,CA,False,attack,Not fleeing,False,-117.057,33.994,True,California
93,James Allen,2015-02-07,shot,gun,74.0,M,B,Gastonia,NC,False,attack,Not fleeing,False,-81.227,35.266,True,North Carolina
94,John Martin Whittaker,2015-02-08,shot,gun,33.0,M,W,Anchorage,AK,False,attack,Car,False,-149.859,61.208,True,Alaska
95,Sawyer Flache,2015-02-08,shot,gun,27.0,M,W,Austin,TX,False,attack,Not fleeing,False,-97.891,30.244,True,Texas
96,Vincent Cordaro,2015-02-08,shot,gun,57.0,M,W,New City,NY,True,attack,Not fleeing,False,-74.001,41.152,True,New York
97,Joseph Paffen,2015-02-08,shot,gun,46.0,M,W,Orange County,FL,False,attack,Not fleeing,False,-81.329,28.482,True,Florida
98,Larry Hostetter,2015-02-08,shot,gun,41.0,M,W,Nocona,TX,False,attack,Not fleeing,False,-97.712,33.787,True,Texas
99,Kenneth Kreyssig,2015-02-09,shot,gun,61.0,M,W,Smyrna,ME,True,attack,Not fleeing,False,-68.104,46.159,True,Maine
100,Desmond Luster,2015-02-09,shot,gun,45.0,M,B,Dallas,TX,False,attack,Not fleeing,False,-96.751,32.655,True,Texas
101,Anthony Bess,2015-02-10,shot,gun,49.0,M,B,Whitehaven,TN,False,attack,Not fleeing,False,-90.054,35.025,True,Tennessee
102,Brian Fritze,2015-02-10,shot,gun,45.0,M,W,New Castle,CO,True,attack,Car,False,-107.454,39.573,True,Colorado
103,Antonio Zambrano-Montes,2015-02-10,shot and Tasered,unarmed,35.0,M,H,Pasco,WA,True,other,Foot,False,-119.101,46.228,True,Washington
104,Phillip Watkins,2015-02-11,shot,knife,23.0,M,B,San Jose,CA,True,other,Not fleeing,False,-121.876,37.316,True,California
105,Fletcher Ray Stewart,2015-02-11,shot,toy weapon,46.0,M,W,Dadeville,AL,True,attack,Foot,True,-85.724,32.864,True,Alabama
106,Jonathan Larry Harden,2015-02-13,shot,,23.0,M,W,San Bernardino,CA,False,attack,Car,False,-117.333,34.165,True,California
107,Andres Lara-Rodriguez,2015-02-13,shot,gun,21.0,M,H,Kansas City,KS,False,attack,Car,False,-94.64,39.071,True,Kansas
108,Richard Carlin,2015-02-13,shot,unarmed,35.0,M,H,Reading,PA,False,other,Not fleeing,False,-75.908,40.329,True,Pennsylvania
109,Matthew D. Belk,2015-02-13,shot,gun,27.0,M,W,McLemoresville,TN,False,attack,Not fleeing,False,-88.572,35.95,True,Tennessee
110,Daniel Mejia,2015-02-13,shot,knife,37.0,M,H,San Manuel,AZ,True,other,Not fleeing,False,-110.628,32.614,True,Arizona
111,Jason C. Hendrix,2015-02-14,shot,gun,16.0,M,W,Essex,MD,True,attack,Car,False,-76.44,39.299,True,Maryland
112,Roy Joy Day,2015-02-14,shot,gun,51.0,M,W,Laredo,TX,False,attack,Not fleeing,False,-99.474,27.554,True,Texas
113,Howard Brent Means Jr.,2015-02-15,shot,gun,34.0,M,W,Iuka,MS,False,attack,Foot,False,-88.205,34.804,True,Mississippi
114,Bruce Steward,2015-02-15,shot,hatchet,34.0,M,W,Colton,OR,True,other,Not fleeing,False,-122.437,45.175,True,Oregon
115,Lavall Hall,2015-02-15,shot and Tasered,unarmed,25.0,M,B,Miami Gardens,FL,True,other,Not fleeing,False,-80.208,25.951,True,Florida
116,Lawrence Caldwell,2015-02-16,shot,gun,56.0,M,W,Marana,AZ,False,attack,Not fleeing,False,-111.09,32.359,True,Arizona
117,Michael K. Casper,2015-02-16,shot,gun,26.0,M,W,Boise,ID,False,attack,Not fleeing,False,-116.222,43.579,True,Idaho
118,Cody Evans,2015-02-16,shot,toy weapon,24.0,M,W,Provo,UT,True,attack,Not fleeing,False,-111.624,40.103,True,Utah
119,Betty Sexton,2015-02-17,shot,gun,43.0,F,W,Gaston County,NC,False,attack,Not fleeing,False,-81.169,35.229,True,North Carolina
120,Michael Ireland,2015-02-17,shot,unarmed,31.0,M,W,Springfield,MO,False,other,Foot,False,-93.319,37.225,True,Missouri
121,Matthew Lundy,2015-02-17,shot,gun,32.0,M,W,Eaton Rapids Township,MI,False,attack,Not fleeing,False,-84.701,42.514,True,Michigan
122,Douglas Sparks,2015-02-17,shot,toy weapon,30.0,M,W,Tewksbury,MA,False,attack,Foot,False,-71.284,42.614,True,Massachusetts
123,Pedro Juan Saldivar,2015-02-17,shot,,50.0,M,H,Del Rio,TX,False,other,Not fleeing,False,-100.831,29.369,True,Texas
124,Janisha Fonville,2015-02-18,shot,knife,20.0,F,B,Charlotte,NC,True,other,Not fleeing,False,-80.819,35.25,True,North Carolina
125,Ruben Villalpando,2015-02-20,shot,unarmed,31.0,M,H,Euless,TX,False,other,Not fleeing,False,-97.1,32.874,True,Texas
126,Stanley Lamar Grant,2015-02-20,shot,gun,38.0,M,B,Homewood,AL,False,attack,Not fleeing,False,-86.824,33.482,True,Alabama
127,Douglas Harris,2015-02-20,shot,gun,77.0,M,B,Birmingham,AL,True,attack,Not fleeing,False,-86.724,33.564,True,Alabama
128,Alejandro Salazar,2015-02-20,shot,gun,,M,H,Houston,TX,False,attack,Car,False,-95.401,29.983,True,Texas
129,Jason Moncrief Carter,2015-02-21,shot,gun,41.0,M,W,Ruidoso,NM,False,attack,Not fleeing,False,-105.665,33.448,True,New Mexico
130,Kent Norman,2015-02-21,shot,knife,51.0,M,W,Indianapolis,IN,False,attack,Not fleeing,False,-85.992,39.793,True,Indiana
131,Bradford Leonard,2015-02-22,shot,gun,50.0,M,W,Palm Bay,FL,False,attack,Not fleeing,False,-80.645,27.99,True,Florida
132,Robert Kohl,2015-02-23,shot,gun,47.0,M,W,Denham Springs,LA,True,attack,Not fleeing,False,-90.956,30.455,True,Louisiana
133,Michael Wayne Smashey,2015-02-23,shot,knife,37.0,M,W,Powder Springs,GA,False,other,Not fleeing,False,-84.695,33.911,True,Georgia
134,Anthony Giaquinta,2015-02-23,shot,gun,41.0,M,W,Clarkesville,GA,False,attack,Foot,False,-83.598,34.631,True,Georgia
135,A'Donte Washington,2015-02-23,shot,gun,16.0,M,B,Millbrook,AL,False,attack,Not fleeing,False,-86.362,32.53,True,Alabama
136,Jerome Nichols,2015-02-23,shot and Tasered,knife,42.0,M,W,Allentown,PA,False,attack,Car,False,-75.433,40.632,True,Pennsylvania
137,Daniel Elrod,2015-02-23,shot and Tasered,unarmed,39.0,M,W,Omaha,NE,False,other,Not fleeing,False,-95.933,41.244,True,Nebraska
138,Joseph Biegert,2015-02-24,shot and Tasered,knife,30.0,M,W,Green Bay,WI,True,attack,Not fleeing,False,-88.058,44.527,True,Wisconsin
139,Glenn Lewis,2015-02-25,shot,,27.0,M,B,Oklahoma City,OK,False,other,Car,False,-97.552,35.497,True,Oklahoma
140,Francis Spivey,2015-02-25,shot,gun,43.0,M,W,Las Vegas,NV,True,attack,Not fleeing,False,-115.055,36.241,True,Nevada
141,David Cuevas,2015-02-26,shot,gun,42.0,M,H,Lakeland,FL,False,attack,Foot,False,-81.95,28.104,True,Florida
142,Amilcar Perez-Lopez,2015-02-26,shot,knife,21.0,M,H,San Francisco,CA,False,other,Not fleeing,False,-122.414,37.751,True,California
143,Rodney Biggs,2015-02-26,shot,unarmed,49.0,M,W,Gulfport,MS,False,other,Not fleeing,False,-89.092,30.425,True,Mississippi
144,Crystal Lee Miley Harry,2015-02-26,shot,gun,34.0,F,W,Sylvester,GA,False,attack,Car,False,-83.902,31.55,True,Georgia
145,Alexander Phillip Long,2015-02-26,shot and Tasered,unarmed,31.0,M,W,Terre Haute,IN,False,other,Not fleeing,False,-87.379,39.463,True,Indiana
146,Ernesto Javiar Canepa Diaz,2015-02-27,shot,unarmed,27.0,M,H,Santa Ana,CA,False,other,Not fleeing,False,-117.879,33.747,True,California
147,Chazsten Freeman,2015-02-28,shot,gun,24.0,M,W,Pelzer,SC,False,attack,Not fleeing,False,-82.408,34.633,True,South Carolina
148,Thomas Allen,2015-02-28,shot,unarmed,34.0,M,B,St Louis,MO,False,other,Car,False,-90.232,38.598,True,Missouri
149,Jessica Uribe,2015-02-28,shot,knife,28.0,F,H,Tucson,AZ,False,other,Not fleeing,False,-110.99,32.23,True,Arizona
150,Cornelius J. Parker,2015-02-28,shot,gun,28.0,M,B,Columbia,MO,False,attack,Car,False,-92.294,38.946,True,Missouri
151,Ian Sherrod,2015-02-28,shot,gun,40.0,M,B,Tarboro,NC,True,attack,Car,False,-77.548,35.918,True,North Carolina
152,Stephanie Hill,2015-02-28,shot,gun,37.0,F,W,La Paz County,AZ,False,attack,Car,False,-114.451,33.619,True,Arizona
153,Deven Guilford,2015-02-28,shot and Tasered,unarmed,17.0,M,W,Roxand Township,MI,False,attack,Not fleeing,True,-84.837,42.756,True,Michigan
154,Hung Trieu,2015-03-01,shot,gun,35.0,M,A,Houston,TX,False,attack,Not fleeing,False,-95.622,29.704,True,Texas
155,Donald Lewis Matkins,2015-03-01,shot,gun,49.0,M,W,Barton,MS,False,attack,Not fleeing,False,-88.604,30.789,True,Mississippi
156,Charly Leundeu Keunang,2015-03-01,shot and Tasered,unarmed,43.0,M,B,Los Angeles,CA,True,attack,Not fleeing,True,-118.245,34.043,True,California
157,Shaquille Barrow,2015-03-02,shot,gun,20.0,M,B,Joilet,IL,False,other,Foot,False,-88.074,41.522,True,Illinois
158,Fednel Rhinvil,2015-03-03,shot,gun,25.0,M,B,Salisbury,MD,False,attack,Not fleeing,False,-75.609,38.38,True,Maryland
159,Matthew Metz,2015-03-03,shot,knife,25.0,M,W,Tempe,AZ,False,attack,Not fleeing,False,-111.931,33.44,True,Arizona
160,Derek Cruice,2015-03-04,shot,unarmed,26.0,M,W,Deltona,FL,False,other,Not fleeing,False,-81.254,28.887,True,Florida
161,Carl Lao,2015-03-04,shot,gun,28.0,M,A,Stockton,CA,False,attack,Not fleeing,False,-121.286,37.948,True,California
162,Tyrone Ryerson Lawrence,2015-03-05,shot,knife,45.0,M,B,Milwaukee,WI,True,other,Not fleeing,False,-87.904,42.968,True,Wisconsin
163,Sergio Alexander Navas,2015-03-05,shot,unarmed,36.0,M,H,Burbank,CA,False,other,Car,False,-118.345,34.151,True,California
164,Tyson Hubbard,2015-03-05,shot,gun,34.0,M,W,Lincoln,NE,False,attack,Not fleeing,False,-96.682,40.875,True,Nebraska
165,Tony Robinson,2015-03-06,shot,unarmed,19.0,M,B,Madison,WI,False,attack,Foot,False,-89.365,43.083,True,Wisconsin
166,Naeschylus Vinzant,2015-03-06,shot,unarmed,37.0,M,B,Aurora,CO,False,other,Foot,False,-104.916,39.735,True,Colorado
167,Andrew Anthony Williams,2015-03-06,shot,,48.0,M,B,Putnam Hall,FL,False,other,Not fleeing,False,-81.959,29.743,True,Florida
168,Adam Reinhart,2015-03-07,shot,gun,29.0,M,W,Phoenix,AZ,False,attack,Not fleeing,False,-112.043,33.469,True,Arizona
169,Monique Jenee Deckard,2015-03-08,shot,knife,43.0,F,B,Anaheim,CA,True,other,Not fleeing,True,-117.94,33.819,True,California
170,Aurelio Duarte,2015-03-08,shot,gun,40.0,M,H,Oklahoma City,OK,False,attack,Not fleeing,False,-97.583,35.426,True,Oklahoma
171,Michael McKillop,2015-03-08,shot,,35.0,M,W,Claymont,DE,False,attack,Car,False,-75.456,39.818,True,Delaware
172,Anthony Hill,2015-03-09,shot,unarmed,27.0,M,B,Atlanta,GA,True,other,Not fleeing,False,-84.267,33.88,True,Georgia
173,Lester Brown,2015-03-09,shot,gun,58.0,M,W,Brevard,NC,False,attack,Not fleeing,False,-82.626,35.269,True,North Carolina
174,James Brent Damon,2015-03-09,shot,gun,46.0,M,W,Dinosaur,CO,False,attack,Not fleeing,False,-109.01,40.246,True,Colorado
175,Cedrick Lamont Bishop,2015-03-09,shot,gun,30.0,M,B,Cocoa,FL,False,attack,Not fleeing,False,-80.749,28.351,True,Florida
176,Theodore Johnson,2015-03-10,shot,gun,64.0,M,B,Cleveland,OH,False,attack,Not fleeing,True,-81.641,41.45,True,Ohio
177,Jamie Croom,2015-03-10,shot,gun,31.0,M,B,Baton Rouge,LA,False,attack,Not fleeing,False,-91.169,30.536,True,Louisiana
178,Christopher Mitchell,2015-03-10,shot,knife,23.0,M,W,Port Wentworth,GA,False,attack,Not fleeing,True,-81.184,32.165,True,Georgia
179,Edixon  Franco,2015-03-10,shot,sword,37.0,M,H,Ontario,CA,True,other,Car,False,-117.655,34.05,True,California
180,Terry Garnett Jr.,2015-03-11,shot,,37.0,M,B,Elkton,MD,False,other,Not fleeing,False,-75.816,39.573,True,Maryland
181,James Greenwell,2015-03-11,shot,gun,31.0,M,W,Memphis,TN,True,attack,Not fleeing,False,-90.0,35.158,True,Tennessee
182,Benito Osorio,2015-03-11,shot,gun,39.0,M,H,Santa Ana,CA,False,attack,Not fleeing,False,-117.868,33.743,True,California
183,Ryan Dean Burgess,2015-03-11,shot,toy weapon,31.0,M,W,Kingman,AZ,True,attack,Not fleeing,False,-114.026,35.204,True,Arizona
184,Gilbert Fleury,2015-03-11,shot,gun,54.0,M,W,Bay Minette,AL,False,attack,Not fleeing,False,-87.891,30.862,True,Alabama
185,William Russell  Smith,2015-03-11,shot,gun,53.0,M,W,Hoover,AL,True,attack,Not fleeing,False,-86.849,33.417,True,Alabama
186,Aaron Valdez,2015-03-11,shot,,25.0,M,H,Los Angeles,CA,False,other,Not fleeing,False,-118.22,33.939,True,California
187,Bobby Gross,2015-03-12,shot,unarmed,35.0,M,B,Washington,DC,True,other,Not fleeing,False,-76.983,38.882,True,
188,James Richard Jimenez,2015-03-13,shot,gun,41.0,M,H,Napa,CA,False,other,Other,False,-122.274,38.306,True,California
189,Fred  Liggett,2015-03-13,shot,gun,59.0,M,W,Kansas City,MO,False,attack,Not fleeing,False,-94.487,38.947,True,Missouri
190,Andrew Driver,2015-03-13,shot,knife,36.0,M,W,Fontana,CA,False,attack,Not fleeing,False,-117.43,34.078,True,California
191,Antonio Perez,2015-03-13,shot,unarmed,32.0,M,H,Walnut Creek,CA,False,other,Foot,False,-118.229,33.971,True,California
192,Clifton Reintzel,2015-03-14,shot,knife,53.0,M,W,Follansbee,WV,False,other,Not fleeing,False,-80.596,40.331,True,West Virginia
193,Aaron Siler,2015-03-14,shot,gun,26.0,M,W,Kenosha,WI,False,attack,Car,False,-87.835,42.583,True,Wisconsin
194,Richard Castilleja,2015-03-14,shot,gun,29.0,M,H,San Antonio,TX,True,attack,Not fleeing,False,-98.536,29.513,True,Texas
195,Troy Ray Boyd,2015-03-15,shot,machete,27.0,M,W,Ruth,MS,False,other,Not fleeing,False,-90.303,31.326,True,Mississippi
